Smiles,PIC50
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)c1cc(C(C)(C)C)nn1Cc1cccc(C)c1,5.374687549
CCCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(=O)C[C@@H](C)CCCC(C)C,4.698970004
Cc1cccc(C(=O)c2c(N)[nH]c(C(=O)c3ccccc3)c2-c2ccc(Cl)cc2Cl)c1,4
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccncc2)c1C(=O)c1cccc(Cl)c1,4
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)COc1ccc(Cl)cc1,6.13076828
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=C/C(=O)NCc1cccc(OC)c1,6.397940009
Oc1c(Cl)cc(C(c2cc(Cl)c(O)c(Cl)c2)C(c2cc(Cl)c(O)c(Cl)c2)c2cc(Cl)c(O)c(Cl)c2)cc1Cl,5.026872146
Oc1c(Cl)cc(C(c2cc(Cl)c(O)c(Cl)c2)C(c2cc(Cl)c(O)c(Cl)c2)c2cc(Cl)c(O)c(Cl)c2)cc1Cl,4.301029996
CC[C@](O)(c1cn(Cc2ccc3c(-c4ccc(F)cc4)c(C(N)=O)sc3c2)nn1)C(F)(F)F,4.698970004
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,6.327902142
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,5
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)COc1ccccc1,5
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1ccccc1,4
Cc1c(Cl)cccc1NC(=O)CSCc1ccccc1,4.301029996
CCOC(=O)C1CCN(CCC(=O)Nc2cc(C)cc(C)c2)CC1,4
Cc1cccc(C(=N)NOC(=O)c2ccc(C)cc2Cl)c1,5.167491087
Cc1cc(CSc2ccccc2)ccc1NC(=O)c1ccccc1Cl,4
COc1cc2c(cc1O)O[C@@]1(C)CC[C@H]3C(C)(C)CCC[C@]3(C)C1=C2,6
COC1=CC2=C[C@@H]3[C@@]4(C)CCCC(C)(C)[C@@H]4CC[C@]3(C)OC2=CC1=O,5.769551079
Cc1ccc(-c2c(C(=O)c3ccccc3)[nH]c(N)c2C(=O)c2cccc(Cl)c2)c(C)c1,4.408935393
O=C(Nc1ccc(F)cc1Cl)c1cc(Cl)[nH]n1,7.657577319
O=C(Nc1ccc2ccccc2n1)c1cc[nH]n1,6.476253533
O=C(Nc1ccc(Cl)cc1Cl)c1cn[nH]n1,7.004364805
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1cccc(Cl)c1,5.161150909
Nc1[nH]c(C(=O)c2ccccc2)c(-c2cccc(Cl)c2)c1C(=O)c1cccc(Cl)c1,4
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(-c2ccccc2)cc1O,4.602059991
O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1cccc(F)c1,8
O=C(CSc1nnc2ccc3ccccc3n12)NCCc1ccccc1,4
COc1ccccc1COc1cc(C)cc2oc(=O)cc(-c3ccccc3)c12,4
O=C(COc1ccccc1)NC(=S)Nc1ccc(Cc2ccncc2)cc1,4
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(Cl)cc1O,6.397940009
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc(O)cc2O)c1C(=O)c1cccc(Cl)c1,5.080921908
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)Cc1cccs1,5
Cc1nnc(/N=C2\NC(=O)/C(=C/C3CCCCC3)S2)s1,5.473660723
