Cat,Name,Smiles,score_active,pred_active
S3783,Echinacoside,CC1OC(OC2C(O)C(OCCC3=CC(=C(O)C=C3)O)OC(COC4OC(CO)C(O)C(O)C4O)C2OC(=O)\C=C\C5=CC=C(O)C(=C5)O)C(O)C(O)C1O,0.5903685165612473,0
S3784,Obacunone (AI3-37934),CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC45C3(C)C(=O)CC12)C6=COC=C6,0.3587585097961284,0
S3785,Notoginsenoside R1,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5C(CC34C)OC6OC(CO)C(O)C(O)C6OC7OCC(O)C(O)C7O,0.4954357302971913,0
S3786,Glabridin,CC1(C)OC2=C(C=C1)C3=C(CC(CO3)C4=CC=C(O)C=C4O)C=C2,0.5435860892000379,0
S3788,Carvacrol,CC(C)C1=CC=C(C)C(=C1)O,0.3325332102615704,0
S3790,Methyl gallate,COC(=O)C1=CC(=C(O)C(=C1)O)O,0.44096975105797537,0
S3799,Gentisic acid,OC(=O)C1=C(O)C=CC(=C1)O,0.3984412666560872,0
S3804,Alpha-Mangostin,COC1=C(O)C=C2OC3=C(C(=C(CC=C(C)C)C(=C3)O)O)C(=O)C2=C1CC=C(C)C,0.29080302246988626,0
S3808,Mangiferin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C3OC4=C(C=C(O)C(=C4)O)C(=O)C3=C2O,0.39877821905303534,0
S3809,Imperatorin,CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3,0.24030113335029238,0
S3810,Scutellarin,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC3=C(C(=O)C=C(O3)C4=CC=C(O)C=C4)C(=C2O)O,0.34531427854306707,0
S3811,Ginsenoside Re,CC1OC(OC2C(O)C(O)C(CO)OC2OC3CC4(C)C(CC(O)C5C(CCC45C)C(C)(CCC=C(C)C)OC6OC(CO)C(O)C(O)C6O)C7(C)CCC(O)C(C)(C)C37)C(O)C(O)C1O,0.4712165953185916,0
S3813,Bakuchiol,CC(C)=CCCC(C)(C=C)\C=C\C1=CC=C(O)C=C1,0.46175736626058445,0
S3815,Mogroside V,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC3OC(CO)C(O)C(O)C3O)C(C)(C)O)C4CCC5(C)C6CC=C7C(CCC(OC8OC(COC9OC(CO)C(O)C(O)C9O)C(O)C(O)C8O)C7(C)C)C6(C)C(O)CC45C,0.4872314347472398,0
S3818,Tectoridin,COC1=C(O)C2=C(OC=C(C2=O)C3=CC=C(O)C=C3)C=C1OC4OC(CO)C(O)C(O)C4O,0.32066048973065964,0
S3822,Schisandrin A,COC1=CC2=C(C(=C1OC)OC)C3=C(CC(C)C(C)C2)C=C(OC)C(=C3OC)OC,0.3450434764208818,0
S3824,Quercitrin,CC1OC(OC2=C(OC3=C(C(=CC(=C3)O)O)C2=O)C4=CC(=C(O)C=C4)O)C(O)C(O)C1O,0.5524485895018777,0
S3825,Glycitin,COC1=CC2=C(OC=C(C2=O)C3=CC=C(O)C=C3)C=C1OC4OC(CO)C(O)C(O)C4O,0.31209176408495204,0
S3826,Hydroxytyrosol,OCCC1=CC=C(O)C(=C1)O,0.5101050480680945,0
S3828,Orcinol glucoside,CC1=CC(=CC(=C1)OC2OC(CO)C(O)C(O)C2O)O,0.4158635450887025,0
S3833,Amentoflavone,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(O)C=C3O)C4=CC(=CC=C4O)C5=CC(=O)C6=C(O5)C=C(O)C=C6O,0.3634451242924904,0
S3834,Astaxanthin,CC(=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C(=O)C(O)CC1(C)C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)C(O)CC2(C)C,0.45417219835531136,0
S3835,Loganin,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(C)C(O)CC13,0.39925492129746576,0
S3836,6-Gingerol,CCCCCC(O)CC(=O)CCC1=CC=C(O)C(=C1)OC,0.4293594909902313,0
S3837,Echinocystic acid,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,0.5024328919946006,0
